Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),NO2_NO_ratio,VOC_NOx_ratio,hour_sin,hour_cos,month_sin,month_cos,Wind_U,Wind_V,Ozone_Baseline,Ozone_Anomaly
2020-01-02 17:00:00,131.5,253.0,99.75,95.32,132.1,45.1,9.12,1.08,10.55,2.92,24.32,16.38,60.78,0.38,249.35,0.0,0.0,211.28,996.1,0.9461042183622828,0.2046581517655898,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.3555858130451122,0.13401018454224475,21.252926829268294,-10.702926829268293
2020-01-02 18:00:00,295.25,472.25,144.78,96.07,168.78,45.15,9.12,1.68,0.52,4.3,47.85,13.62,80.88,0.18,312.62,0.0,0.0,221.35,996.35,0.659006722458499,0.30716220991871834,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.13245493823873322,-0.12188391746318859,20.99809523809524,-20.47809523809524
2020-01-02 19:00:00,206.5,449.5,221.65,107.45,237.62,67.2,9.48,2.78,4.28,11.0,331.12,13.08,85.3,0.62,270.38,0.0,0.0,223.68,996.62,0.4825960026948125,1.4337440281619311,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.6199863641558038,-0.004111965572206252,20.521860465116276,-16.241860465116275
2020-01-02 20:00:00,468.25,861.75,173.75,86.58,187.42,63.22,8.55,3.18,2.17,13.85,366.92,13.32,87.18,0.98,249.78,0.0,0.0,226.27,996.88,0.495450643776824,2.020857658422673,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.9196049851007396,0.33871325834379223,20.152727272727272,-17.982727272727274
2020-01-02 21:00:00,403.0,790.0,66.82,83.38,98.92,65.82,8.8,2.6,1.27,11.2,355.88,15.02,81.72,1.12,94.48,0.0,0.0,218.68,996.92,1.2294308463580066,3.673738991192954,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-1.116578019634411,0.0874844332969975,19.75311111111111,-18.48311111111111
2020-01-02 22:00:00,296.5,600.0,65.65,79.2,95.65,61.28,8.93,2.05,1.82,9.82,292.58,14.0,87.78,0.78,178.42,0.0,0.0,219.45,996.75,1.188297074268567,3.128815312984997,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.02150671167426421,0.7797034444921737,19.351304347826087,-17.531304347826087
2020-01-02 23:00:00,301.25,576.5,85.18,59.32,101.05,62.7,7.38,1.9,1.12,9.3,243.18,12.2,93.93,0.43,198.92,0.0,0.0,234.6,996.58,0.6883267579484799,2.474081332680059,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.13942648715546532,0.40676806005325306,18.978297872340427,-17.858297872340426
2020-01-03 00:00:00,293.25,514.75,97.93,48.32,105.58,62.18,7.3,1.65,0.92,8.72,137.7,11.0,95.2,0.28,293.77,0.0,0.0,243.45,996.5,0.4884261599110482,1.373803715518859,0.0,1.0,0.49999999999999994,0.8660254037844387,0.2562478347079134,-0.1128585274026997,18.60625,-17.686249999999998
2020-01-03 01:00:00,262.75,425.5,95.12,42.98,100.5,64.03,9.5,1.5,0.85,8.17,94.1,10.4,95.2,0.15,249.48,0.0,0.0,250.48,996.32,0.4471493965875988,1.0075862068965518,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.1404824830122288,0.052580148028688996,18.24530612244898,-17.39530612244898
2020-01-03 02:00:00,243.25,387.75,94.22,41.15,98.7,62.2,9.2,1.33,1.08,7.92,76.4,10.07,95.2,0.28,251.77,0.0,0.0,258.08,995.85,0.43215710985087163,0.8457372116349048,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.26594634727670874,0.08759303836593549,17.8974,-16.8174
