PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Leighton_ratio,VOC_NOx_ratio,O3_lag1,NOx_lag1
95.22,128.86,72.47,30.56,74.92,47.77,9.42,0.87,24.33,0.54,55.86803231939164,0.0071127502634351,18.44,78.77
70.51,97.49,75.13,28.72,76.19,48.67,10.71,0.98,24.05,0.41,60.79665208613728,0.0053115688560694,24.33,74.92
56.09,95.37,88.99,28.83,87.6,53.85,12.0,1.43,33.25,0.62,99.19267515923568,0.0069977426636568,24.05,76.19
128.81,182.03,125.14,28.36,116.6,71.66,17.46,2.65,33.36,1.85,142.1890463215259,0.0157312925170068,33.25,87.6
106.42,147.49,94.28,29.3,92.2,57.98,14.76,1.28,36.75,1.3,114.34950495049505,0.0139484978540772,33.36,116.6
107.18,171.15,109.06,32.54,105.77,65.44,19.74,1.49,26.75,0.91,86.98136553369112,0.008522993350192,36.75,92.2
39.48,68.3,75.14,28.59,76.11,48.68,10.52,0.69,27.46,0.59,69.73113889827644,0.0076514070807936,26.75,105.77
26.71,41.57,64.86,25.76,66.22,42.69,6.56,0.56,22.19,0.37,53.78338565022421,0.0055043141922047,27.46,76.11
59.96,88.78,68.43,25.08,68.65,43.15,6.58,0.85,23.76,1.17,62.34266871165645,0.0167982770997846,22.19,66.22
78.03,109.35,77.18,21.43,73.76,47.03,8.86,0.85,40.06,0.73,137.84354881854662,0.009764579989299,23.76,68.65
50.87,88.03,59.17,22.26,59.89,38.6,10.44,0.43,40.59,0.35,103.2549570077386,0.0057480702906881,40.06,73.76
83.59,127.41,61.76,26.46,64.26,41.09,19.3,0.55,48.23,0.17,108.47359067734884,0.0026049647563591,40.59,59.89
76.63,113.03,73.76,28.68,74.98,48.02,13.2,0.6,27.95,0.15,69.46064690026955,0.0019742037378257,48.23,64.26
92.73,142.03,93.35,24.23,88.41,55.33,13.48,1.09,25.24,0.15,93.38699960364644,0.0016776646907504,27.95,74.98
57.58,117.35,71.99,34.93,76.94,42.58,13.88,0.56,22.52,0.4,45.12148065683272,0.0051321529381575,25.24,88.41
57.07,84.91,50.15,44.27,64.32,28.28,7.53,0.4,10.86,0.36,12.030682571239227,0.0055113288426209,22.52,76.94
63.0,96.32,54.35,46.8,69.08,29.73,14.04,0.43,26.44,0.36,30.063054393305443,0.0051369863013698,10.86,64.32
56.95,102.57,49.69,47.78,65.82,28.58,13.41,0.83,24.43,0.36,24.885746207462077,0.0053876085004489,26.44,69.08
